"Authors","Title","Year","Journal","Volume","Issue","Page_Start","Page_End","Citations"
"Dalal, A., and Das, M. K.","Laminar Natural Convection in an Inclined Complicated Cavity with Spatially Variable Wall Temperature","2005","International Journal of Heat and Mass Transfer","48","14","2986","3007","28"
"J. Srikanth, E.G. Tulapurkara and G. Biswas","Large Eddy Simulation of Flow Past Built-In Winglet-Pair in a Rectangular Channel","2005","International Journal of Fluid Mechanics Research","32","-","310","326","2"
"D. Deka, G. Sandeep, D. Chakarborty and A. Dutta ","Multi-objective Optimization of Laminated Composites using Finite Element Method and Genetic Algorithm","2005","Journal of Reinforced Plastics and Composites","23","3","273","286","12"
"S. Tiwari, D. Chakraborty, G. Biswas and P.K. Panigrahi","Numerical Prediction of Flow and Heat Transfer in a Channel in the Presence of a Built-in Circular Tube With and Without Integral Wake Splitter","2005","International Journal of Heat and Mass Transfer","48","-","439","453","15"
"G. Tomar, G. Biswas, A. Sharma and A. Agrawal","Numerical Simulation of Bubble Growth in Film Boiling using CLSVOF Method","2005","Physics of Fluids","17","1","1","13","0"
"Rahul, D. Chakraborty and A. Dutta","Optimization of FRP laminated Composites using Island Model Parallel genetic Algorithm","2005","Composite Science and Technology ","65","-","2003","2013","27"
"Pathak M, Kumar PS, and Saha UK","Prediction of Off-Design Characteristics of a Gas Turbine Cycle Using Matching Technique","2005","International Journal of Turbo & Jet Engines","22","2","103","119","1"
"Anil Bora, P.S. Robi, A.Srinivasan and Ajit L Mujumdar","Processing and characterization of ruthenium aluminide alloys by powder metallurgy and solidification techniques","2005","Trans. PMAI","31","-","1","6","0"
"D. Gerlach, G. Biswas, F. Durst and V. Kolobaric","Quasi-Static Bubble Formation on Submerged Orifices","2005","International Journal of Heat and Mass Transfer","48","-","425","438","45"
"S Senthilvelan and R Gnanamoorthy","Reinforced Polymer Gear Fatigue and Failure Analysis","2005","Transactions Indian Institute of Metals","58","2-3.","249","253","2"
"D. Chakraborty and M. Kumar","Response of Laminated Composites under Multiple Impact loading","2005","Journal of Reinforced Plastics and Composites","24","14","1457","1477","3"
"K. Senthil Kumar, E. G. Tulapurkara, G. Biswas and B.H.L. Gowda","Reverse Flow in Channel with Obstruction at Entry","2005","Fluid Dynamics Research","37","-","387","398","2"
"Rajkumar MJ, Saha UK, and Maity D","Simulation of Flow Around and Behind a Savonius Rotor","2005","International Energy Journal","6","2","83","90","5"
"S Senthilvelan and R Gnanamoorthy","Surface Failure Analysis of Unreinforced ,Glass and Carbon Fiber Reinforced Nylon 6/6 Spur Gears","2005","International Journal of Plastics Technology","9","-","444","452","0"
"S. K. Pal and D. Chakraborty","Surface roughness prediction in turning using artificial neural network","2005","Neural Computing and Applications","14","-","319","324","19"
"S.C. Mishra, P. Talukdar, D. Trimis and F. Durst","Two-dimensional transient conduction and radiation heat transfer with variable thermal conductivity","2005","Int. Communications in Heat and Mass Transfer","32","-","305","314","10"
"P. Mahanta, S.C. Mishra, Y.S. Kushwah","A comparative study of pongamiapinnata and jatrophacurcus oil as diesel substitute ","2006","International Energy Journal ","7","1","1","11","0"
"N.R.. Abburi and U.S. Dixit","A knowledge-based system for the prediction of surface roughness in turning process","2006","Robotics and CIM","22","4","363","372","51"
"S. R. Deepak and A. Ghosal","A note on the diagonalizability and the jordan form of the 4 x 4 homogeneous transformation matrix","2006"," Journal of Mechanical Design","128","6","1343","1348","0"
"A. K. De and A. Dalal","A numerical study of natural convection around a square, horizontal, heated cylinder placed in an enclosure","2006","International Journal of Heat and Mass Transfer","49","23-24","4608","4623","53"
"D. Kumar and U.S. Dixit","A slab method study of strain hardening and friction effects in cold foil rolling process","2006","J. Mater. Process. Tech.","171","3","331","340","4"
"K. Arul Prakash, S. De, B.V. Rathish Kumar and G. Biswas","A SUPG Finite Element Study of an ADSS","2006","Finite Element in Analysis and Design","42","-","1123","1136","0"
"A.Dewan, M. Pathak and A.K.Dass","A survey of selected literature on Important flow properties and computational fluid dynamics treatments of incompressible turbulent plane and round jets in quiescent ambient","2006","Indian Journal of Engineering and Materials Sciences","13","-","180","194","0"
"D. Bandopadhya, B. Bhattacharya, A. Dutta","Active vibration control using Terfenol-D with H-infinity filter","2006","International Journal of Engineering Modelling","12","-","1","2","0"
"P. Mahanta, S.C. Mishra, Y.S. Kushwah","An experimental study of Pongamiapinnata L. oil as a diesel substitute","2006","Part A: Journal of Power and Energy ","220","7","803","808","0"
"A. K. De and V. Eswaran","Analysis of a new high resolution upwind compact scheme","2006","Journal of Computational Physics","218","1","398","416","12"
"D.Sarma,  S.C., Mishra, P. Mahanta","Analysis of collimated radiation in participating media using the discrete transfer method ","2006","Journal of Quantitative Spectroscopy and Radiative Transfer","96","1","123","135","11"
"R. Raj, A. Prasad, P.R. Parida and S.C. Mishra","Analysis of solidification of a semitransparent planar layer using the lattice Boltzmann method and the discrete transfer method","2006","Numerical Heat Transfer, Part A","49","3","279","299","34"
"D.K. Sonar, U.S. Dixit and D.K. Ojha","Application of radial basis function neural network for predicting the surface roughness in turning process","2006","Int. J. Adv. Manuf. Tech.","27","7-8.","661","666","18"
"S. K. Kakoty and V. K. Roy","Bulk Reaction Modeling of Sound Propagation Through Circular Dissipative Ducts Backed by an Air Gap","2006","Journal of Vibration and Acoustics, Transactions of the ASME","128","6","699","704","3"
"V.K. Pantangi and S.C. Mishra","Combustion of gaseous hydrocarbon fuels within porous media - a review","2006","Advances in Energy Research","8","-","455","461","0"
"D. Gerlach, G. Tomar, G. Biswas, and F. Durst","Comparison of Volume-of- Fluid Methods for Computing Surface Tension-Dominant Two-Phase Flows","2006","International Journal of Heat and Mass Transfer","49","-","740","754","0"
"M. Pathak, A. Dewan and A.K. Dass","Computational Prediction of a slightly heated turbulent rectangular jet discharged into a  narrow channel crossflow using two different turbulence models","2006","International Journal of Heat and Mass Transfer","49","-","3914","3928","6"
"Manas Das, V.K. Jain, P.S. Ghoshdastidar","Computer Simulation of Nanofinishing Process","2006","Directions (Quarterly magazine of IIT Kanpur)","7","3","23","28","0"
"S Senthilvelan and R Gnanamoorthy","Damping Characteristics of Unreinforced, Glass and Carbon Fiber Reinforced Nylon 6/6 Spur Gears","2006","Polymer Testing,","25","1","56","62","15"
"T. Roy and D. Chakraborty","Delamination in Hybrid FRP Laminates under Low Velocity Impact","2006","Journal of Reinforced Plastics and Composites","18","6","1939","1955","5"
"S.C. Mishra, P. Chug, P. Kumar and K. Mitra","Development and comparison of the DTM, the DOM and the FVM formulations for the short-pulse laser transport through a participating medium","2006","International Journal of Heat and Mass Transfer","49","11-12.","1820","1832","40"
"R. Tiwari and N. Dharmaraju","Development of a condensation scheme for transverse rotational degrees of freedom elimination in identification of beam crack parameters","2006","Mechanical Systems and Signal Processing","20","8","2148","2170","4"
"S.C. Mishra, H.K. Roy and N. Misra","Discrete ordinate method with a new and a simple quadrature scheme","2006","Journal of Quantitative Spectroscopy and Radiative Transfer","101","2","249","262","33"
"S. S. Panda, A. K. Singh, D. Chakraborty and S. K. Pal","Drill Wear Monitoring using Back Propagation Neural Network","2006","Journal of Materials Processing Technology","172","-","283","290","26"
"A. K. Singh, S. S. Panda, S. K. Pal and D. Chakraborty","Drill Wear Prediction using Artificial Neural Network","2006","International Journal of Advanced Manufacturing Technology","28","5","456","462","24"
"S. K. Dwivedy and P. Eberhard","Dynamic analysis of flexible manipulators, a literature review","2006","Mechanism and Machine Theory","41","-","749","777","318"
"N. K. Chandiramani and T. Pothala","Dynamics of 2-DOF Regenerative Chatter during Turning","2006","Journal of Sound and Vibration","292","3-Jan","448","464","46"
"A. Maheshwari, R.P. Chhabra and G. Biswas","Effect of Blockage on Drag and Heat Transfer from a Single Sphere and an In-line Array of Three Spheres","2006","Powder Technology","168","-","74","83","20"
"S Senthilvelan and R Gnanamoorthy","Effect of Gear Tooth Fillet Radius on the Performance of Injection Molded Nylon 6/6 Gears","2006","Materials and Design","27","8","632","639","16"
"S Senthilvelan and R Gnanamoorthy","Effect of Rotational Speed on the Performance of Unreinforced and Glass Fiber Reinforced Nylon 6 Spur Gears","2006","Materials and Design","28","3","765","772","14"
"N. K. Chandiramani, K. Srinivasan, and J. Nagendra","Experimental Study of Stick-Slip Dynamics in a Friction Wedge Damper","2006","Journal of Sound and Vibration","291","2-Jan","1","18","6"
"S Senthilvelan and R Gnanamoorthy","Fiber Reinforcement in Injection Molded Nylon 6/6 Spur Gears","2006","Applied Composite Materials","13","4","237","248","9"
"S.C. Mishra, M. Stevan, S. Nemoda, P. Talukdar, D. Trimis and F. Durst","Heat transfer analysis of a two-dimensional rectangular porous burner","2006","Int. Communications in Heat and Mass Transfer","33","-","464","474","26"
"N. K. Chandiramani","Higher-periodic and Aperiodic Stick-slip Dynamics in a Friction Damper","2006","International Journal of Acoustics and Vibrations","11","2","67","78","0"
"N. Dharmaraju, R. Tiwari and S. Talukdar","Identification of an Open Crack Model Parameters  in a Cracked Beams","2006","A Special Issue on Rotor Dynamics of Advances in Vibration Engineering","5","4","323","330","5"
"S Senthilvelan and R Gnanamoorthy","Influence of Reinforcement on Composite Gear Metrology","2006","Mechanism and Machine Theory","43","9","1198","1209","4"
"G. Tomar, V. Shankar, S.K. Shukla, A. Sharma, G. Biswas","Instability and Dynamics of Thin Viscoelastic Liquid Films","2006","European Physical Journal E","20","-","185","200","11"
"Y. Srinivas, G. Biswas, A.S. Parihar and R. Ranjan","Large-Eddy Simulation of High Reynolds Number Turbulent Flow Past a Square Cylinder","2006","Journal of Engineering Mechanics (ASCE)","132","-","327","335","10"
"N. Gupta, G.R.  Chaitanya and S.C. Mishra","Lattice Boltzmann method applied to variable thermal conductivity conduction and radiation problems","2006","Journal of Thermophysics and Heat Transfer","20","7","895","902","24"
"R. Tiwari and N. Dhawade","Localisation and Criticality of a Crack in an Euler-Benaulli Beam Based on Modal Characteristics","2006","Advances in Vibration Engineering","5","3","175","189","0"
"Rahul, G. Sandeep, D. Chakarborty and A Dutta ","Multi-objective Optimization of Hybrid Laminates subjected to Transverse Impact","2006","Composite Structures","73","-","360","369","11"
"Dalal, A., and Das, M. K.","Natural Convection in a Cavity with a Wavy Wall Heated from Below and Uniformly Cooled from the Top and Both Sides","2006","ASME Journal of Heat Transfer","128","7","717","725","17"
"Dalal, A., and Das, M. K.","Natural Convection in a Rectangular Cavity Heated from Below and Uniformly Cooled from the Top and Both Sides","2006","Numerical Heat Transfer: Part A","49","3","301","322","16"
"Satyajit Panda and M. C. Ray","Nonlinear analysis of smart functionally graded plates integrated with a layer of piezoelectric fiber reinforced composite","2006","Smart Materials and Structures","15","-","1595","1604","8"
"Biswas Pankaj, Mandal N. R. and Sha O. P. ","Numerical and ANN prediction of thermal history of Submerged Arc Welding","2006","Journal of Mechanical Behavior of Materials","17","4","269","286","0"
"K. Arul Prakash, G. Biswas and B.V. Rathish Kumar","Numerical Simulation of the Target System of an ADSS","2006","International Journal of Computational Fluid Dynamics","20","-","513","520","0"
"A. K. De and A. Dalal","Numerical simulation of unconfined flow past a triangular cylinder","2006","International Journal for Numerical Methods in Fluids","52","7","801","821","28"
"Saha UK, and Rajkumar MJ","On The Performance Analysis of Savonius Rotor with Twisted Blades","2006","Renewable Energy","31","11","1776","1788","58"
"S Senthilvelan and R Gnanamoorthy","Selective Carbon Fiber Reinforced Nylon 66 Spur Gears Development and Performance","2006","Applied Composite Materials","13","1","43","56","3"
"U.S. Dixit, R. Kumar and S.K. Dwivedy","Shape optimization of flexible robotic manipulators","2006","ASME Journal of Mechanical Design","128","-","559","565","9"
